country;year;suicides_100k;last_suicide
Albania;1985;;0
Albania;1986;;0
Albania;1987;2.694124594;0
Albania;1988;2.279057989;2.694124594
Albania;1989;2.425885627;2.279057989
Albania;1990;;2.425885627
Albania;1991;;0
Albania;1992;1.665190434;0
Albania;1993;2.600363338;1.665190434
Albania;1994;1.754816973;2.600363338
Albania;1995;3.030929255;1.754816973
Albania;1996;3.027004966;3.030929255
Albania;1997;5.70987136;3.027004966
Albania;1998;5.111693829;5.70987136
Albania;1999;4.587912995;5.111693829
Albania;2000;1.93112327;4.587912995
Albania;2001;4.250988355;1.93112327
Albania;2002;4.718254572;4.250988355
Albania;2003;4.36016511;4.718254572
Albania;2004;5.078276767;4.36016511
Albania;2005;0;5.078276767
Albania;2006;0;0
Albania;2007;4.475978434;0
Albania;2008;5.803285312;4.475978434
Albania;2009;0;5.803285312
Albania;2010;3.508739869;0
Albania;2011;;3.508739869
Albania;2012;;0
Albania;2013;;0
Albania;2014;;0
Albania;2015;;0
Anguilla;1983;;0
Anguilla;1984;;0
Anguilla;1985;;0
Anguilla;1986;;0
Anguilla;1987;;0
Anguilla;1988;;0
Anguilla;1989;;0
Anguilla;1990;;0
Anguilla;1991;;0
Anguilla;1992;;0
Anguilla;1993;;0
Anguilla;1994;;0
Anguilla;1995;;0
Anguilla;2000;;0
Anguilla;2001;;0
Anguilla;2002;;0
Anguilla;2003;;0
Anguilla;2004;;0
Anguilla;2005;;0
Anguilla;2006;;0
Anguilla;2008;;0
Anguilla;2009;;0
Anguilla;2010;;0
Anguilla;2011;;0
Anguilla;2012;;0
Anguilla;2013;;0
Anguilla;2014;;0
Anguilla;2015;;0
Anguilla;2016;;0
Antigua and Barbuda;1983;0;0
Antigua and Barbuda;1985;0;0
Antigua and Barbuda;1986;0;0
Antigua and Barbuda;1987;0;0
Antigua and Barbuda;1988;0;0
Antigua and Barbuda;1989;0;0
Antigua and Barbuda;1990;1.685374322;0
Antigua and Barbuda;1991;0;1.685374322
Antigua and Barbuda;1992;0;0
Antigua and Barbuda;1993;1.579404564;0
Antigua and Barbuda;1994;0;1.579404564
Antigua and Barbuda;1995;0;0
Antigua and Barbuda;1998;0;0
Antigua and Barbuda;1999;0;0
Antigua and Barbuda;2000;2.65512572;0
Antigua and Barbuda;2001;2.614481614;2.65512572
Antigua and Barbuda;2002;0;2.614481614
Antigua and Barbuda;2003;1.271326502;0
Antigua and Barbuda;2004;2.508717794;1.271326502
Antigua and Barbuda;2005;0;2.508717794
Antigua and Barbuda;2006;0;0
Antigua and Barbuda;2007;1.202920691;0
Antigua and Barbuda;2008;0;1.202920691
Antigua and Barbuda;2009;0;0
Antigua and Barbuda;2012;0;0
Antigua and Barbuda;2013;0;0
Antigua and Barbuda;2014;0;0
Antigua and Barbuda;2015;1.088269543;0
Argentina;1979;7.212038742;7.212038742
Argentina;1980;7.981672913;7.212038742
Argentina;1981;8.789476632;7.981672913
Argentina;1982;7.490565318;8.789476632
Argentina;1983;6.879993998;7.490565318
Argentina;1984;7.021845324;6.879993998
Argentina;1985;7.338284584;7.021845324
Argentina;1986;8.383374198;7.338284584
Argentina;1987;8.282788756;8.383374198
Argentina;1988;8.315670482;8.282788756
Argentina;1989;7.828722737;8.315670482
Argentina;1990;7.356201725;7.828722737
Argentina;1991;6.58609864;7.356201725
Argentina;1992;7.268999581;6.58609864
Argentina;1993;7.316873103;7.268999581
Argentina;1994;7.249799425;7.316873103
